Gene,Sheet,Left_Barcode_Name,Right_Barcode_Name
ENSMUSG00000021848,hcr488_B4,P488L_1,P488R_1
ENSMUSG00000032446,hcr561_B2,P561L_1,P561R_1
ENSMUSG00000018604,hcr640_B3,P640L_1,P640R_1
